"country","HdiTier","Hdi2021","Hdi2020","Hdi2019","Hdi2010","Hdi2000","HdiGrowth1990to2021"
"Switzerland","Very High",0.962,0.956,0.962,0.942,0.887,0.4
"Norway","Very High",0.961,0.959,0.961,0.941,0.913,0.44
"Iceland","Very High",0.959,0.957,0.96,0.902,0.871,0.54
"Hong Kong","Very High",0.952,0.949,0.952,0.907,0.851,0.61
"Australia","Very High",0.951,0.947,0.941,0.923,0.896,0.31
"Denmark","Very High",0.948,0.947,0.946,0.913,0.889,0.41
"Sweden","Very High",0.947,0.942,0.947,0.91,0.904,0.51
"Ireland","Very High",0.945,0.943,0.942,0.904,0.847,0.81
"Germany","Very High",0.942,0.944,0.948,0.926,0.889,0.41
"Netherlands","Very High",0.941,0.939,0.943,0.917,0.893,0.34
"Finland","Very High",0.94,0.938,0.939,0.911,0.891,0.47
"Singapore","Very High",0.939,0.939,0.943,0.91,0.831,0.83
"Belgium","Very High",0.937,0.928,0.936,0.912,0.887,0.45
"New Zealand","Very High",0.937,0.936,0.937,0.922,0.887,0.49
"Canada","Very High",0.936,0.931,0.937,0.911,0.89,0.27
"Liechtenstein","Very High",0.935,0.933,0.94,0.913,0.873,
"Luxembourg","Very High",0.93,0.924,0.927,0.912,0.864,0.54
"United Kingdom","Very High",0.929,0.924,0.935,0.912,0.862,
"Japan","Very High",0.925,0.923,0.924,0.898,0.877,0.29
"South Korea","Very High",0.925,0.922,0.923,0.89,0.825,0.74
"United States","Very High",0.921,0.92,0.93,0.911,0.891,0.18
"Israel","Very High",0.919,0.917,0.921,0.894,0.844,0.5
"Slovenia","Very High",0.918,0.913,0.921,0.89,0.821,
"Malta","Very High",0.918,0.911,0.915,0.861,0.779,0.74
"Austria","Very High",0.916,0.913,0.919,0.902,0.871,0.34
"United Arab Emirates","Very High",0.911,0.912,0.92,0.835,0.796,0.73
"Spain","Very High",0.905,0.899,0.908,0.868,0.825,0.58
"France","Very High",0.903,0.898,0.905,0.877,0.844,0.43
"Cyprus","Very High",0.896,0.894,0.897,0.857,0.797,0.73
"Italy","Very High",0.895,0.889,0.897,0.882,0.841,0.45
"Estonia","Very High",0.89,0.892,0.896,0.861,0.787,0.63
"Czech Republic","Very High",0.889,0.892,0.897,0.87,0.808,0.58
"Greece","Very High",0.887,0.886,0.889,0.869,0.81,0.5
"Poland","Very High",0.876,0.876,0.881,0.841,0.793,0.65
"Saudi Arabia","Very High",0.875,0.87,0.873,0.816,0.737,0.83
"Lithuania","Very High",0.875,0.879,0.884,0.842,0.766,0.57
"Bahrain","Very High",0.875,0.877,0.882,0.808,0.798,0.53
"Portugal","Very High",0.866,0.863,0.867,0.829,0.791,0.68
"Latvia","Very High",0.863,0.871,0.871,0.824,0.756,0.54
"Croatia","Very High",0.858,0.855,0.861,0.821,0.759,
"Andorra","Very High",0.858,0.848,0.873,0.848,0.818,
"Chile","Very High",0.855,0.852,0.861,0.813,0.763,0.62
"Qatar","Very High",0.855,0.854,0.859,0.834,0.801,0.39
"San Marino","Very High",0.853,0.845,0.862,,,
"Slovakia","Very High",0.848,0.857,0.862,0.84,0.763,0.66
"Hungary","Very High",0.846,0.849,0.853,0.828,0.773,0.52
"Argentina","Very High",0.842,0.84,0.852,0.834,0.779,0.49
"Turkey","Very High",0.838,0.833,0.842,0.749,0.67,1.08
"Montenegro","Very High",0.832,0.826,0.837,0.808,,
"Kuwait","Very High",0.831,0.822,0.839,0.813,0.787,0.47
"Russia","Very High",0.829,0.83,0.845,0.796,0.732,0.24
"Brunei","Very High",0.829,0.83,0.83,0.828,0.808,0.24
"Romania","Very High",0.821,0.824,0.832,0.807,0.715,0.5
"Oman","Very High",0.816,0.827,0.839,0.788,0.705,
"Bahamas","Very High",0.812,0.815,0.816,0.812,0.799,
"Kazakhstan","Very High",0.811,0.814,0.819,0.767,0.68,0.6
"Trinidad and Tobago","Very High",0.81,0.818,0.821,0.79,0.712,0.66
"Costa Rica","Very High",0.809,0.816,0.819,0.772,0.71,0.66
"Uruguay","Very High",0.809,0.821,0.821,0.787,0.753,0.46
"Belarus","Very High",0.808,0.807,0.817,0.79,0.712,
"Panama","Very High",0.805,0.801,0.817,0.773,0.721,0.6
"Malaysia","Very High",0.803,0.806,0.81,0.769,0.721,0.73
"Serbia","Very High",0.802,0.804,0.811,0.767,0.69,
"Georgia","Very High",0.802,0.802,0.81,0.759,0.702,
"Mauritius","Very High",0.802,0.804,0.817,0.755,0.681,0.8
"Thailand","Very High",0.8,0.802,0.804,0.737,0.653,1.07
"Albania","High",0.796,0.794,0.81,0.754,0.677,0.67
"Bulgaria","High",0.795,0.802,0.81,0.79,0.725,0.49
"Grenada","High",0.795,0.792,0.8,0.782,,
"Barbados","High",0.79,0.788,0.799,0.788,0.756,0.28
"Antigua and Barbuda","High",0.788,0.788,0.8,0.79,,
"Seychelles","High",0.785,0.793,0.802,0.776,0.744,
"Sri Lanka","High",0.782,0.78,0.778,0.737,0.688,0.67
"Bosnia and Herzegovina","High",0.78,0.781,0.783,0.725,0.667,
"Saint Kitts and Nevis","High",0.777,0.779,0.783,0.759,,
"Iran","High",0.774,0.777,0.783,0.745,0.685,0.82
"Ukraine","High",0.773,0.775,0.786,0.764,0.7,0.19
"North Macedonia","High",0.77,0.774,0.784,0.738,0.675,
"China","High",0.768,0.764,0.762,0.691,0.584,1.5
"Dominican Republic","High",0.767,0.764,0.771,0.708,0.646,0.92
"Moldova","High",0.767,0.766,0.774,0.73,0.641,0.52
"Palau","High",0.767,0.773,0.776,0.773,0.739,
"Cuba","High",0.764,0.781,0.788,0.78,0.693,0.38
"Peru","High",0.762,0.762,0.78,0.725,0.676,0.66
"Armenia","High",0.759,0.757,0.778,0.746,0.662,0.47
"Mexico","High",0.758,0.756,0.779,0.746,0.709,0.44
"Brazil","High",0.754,0.758,0.766,0.723,0.679,0.69
"Colombia","High",0.752,0.756,0.768,0.726,0.666,0.68
"Saint Vincent and the Grenadines",,0.751,,,,,
"Maldives","High",0.747,0.734,0.755,0.688,0.628,
"Algeria","High",0.745,0.736,0.748,0.721,0.649,0.75
"Azerbaijan","High",0.745,0.73,0.761,0.727,0.622,0.75
"Turkmenistan","High",0.745,0.741,0.742,0.711,,
"Tonga","High",0.745,0.745,0.744,0.713,0.685,0.47
"Ecuador","High",0.74,0.731,0.76,0.736,0.687,0.41
"Mongolia","High",0.739,0.745,0.746,0.701,0.598,0.79
"Egypt","High",0.731,0.734,0.735,0.675,0.633,0.79
"Tunisia","High",0.731,0.737,0.745,0.72,0.658,0.77
"Fiji","High",0.73,0.737,0.746,0.714,0.681,0.42
"Suriname","High",0.73,0.743,0.755,0.723,,
"Uzbekistan","High",0.727,0.721,0.726,0.673,0.607,
"Jordan","High",0.72,0.723,0.727,0.725,0.678,0.47
"Dominica","High",0.72,0.722,0.729,0.711,0.695,0.47
"Libya","High",0.718,0.703,0.722,0.739,0.712,0.24
